,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
66,Guinea-Bissau,,624,B R,50.0,50.5,50.3,50.3,51.1,51.5,51.5
67,Liberia,,430,B,43.2,46.5,45.9,41.3,42.6,43.0,43.0
68,Mali,,466,B R,49.0,48.4,48.4,48.5,48.6,48.8,48.8
69,Mauritania,,478,C R,48.4,47.5,45.7,43.9,42.6,43.5,43.5
70,Niger,,562,B R,52.2,52.2,52.4,52.5,52.5,52.6,52.6
71,Nigeria,,566,C R,43.9,44.3,44.6,41.8,41.8,45.1,45.1
72,Saint Helena,4,654,B,42.0,44.7,46.9,46.0,45.2,44.5,44.4
73,Senegal,,686,B R,48.7,48.8,47.6,47.6,46.9,46.9,46.9
74,Sierra Leone,,694,B R,44.6,43.4,44.4,46.8,45.4,45.2,45.2
75,Togo,,768,C R,49.4,50.1,49.9,49.4,49.4,49.7,49.7
76,ASIA,,935,,46.6,46.5,46.2,45.3,42.7,42.7,42.4
77,Central Asia,,5500,,55.2,55.3,55.3,54.0,52.7,51.9,51.8
78,Kazakhstan,,398,B,54.0,54.0,54.0,52.5,51.3,50.4,50.4
79,Kyrgyzstan,,417,B,58.2,58.2,58.2,58.6,59.2,59.6,59.6
80,Tajikistan,,762,B,56.1,56.4,56.1,56.7,56.8,56.9,56.9
81,Turkmenistan,,795,B,56.2,56.6,56.9,55.7,54.2,53.4,53.4
82,Uzbekistan,,860,B,56.2,56.5,56.9,55.7,54.2,53.4,53.4
83,Eastern Asia,,906,,49.3,51.3,52.7,52.9,53.0,53.2,53.2
84,China,5,156,C,49.0,49.6,50.0,44.0,40.5,38.6,38.6
85,"China, Hong Kong SAR",6,344,B,49.3,51.9,54.1,56.4,58.7,60.5,60.5
86,"China, Macao SAR",7,446,B,53.0,53.9,54.6,53.3,54.0,54.6,54.6
87,Dem. People's Republic of Korea,,408,I,49.0,50.0,51.0,50.7,50.5,50.2,50.2
88,Japan,,392,C,49.1,51.3,52.7,54.1,55.0,55.0,55.0
89,Mongolia,,496,C,49.1,46.7,44.4,34.0,26.0,27.0,27.0
90,Republic of Korea,,410,C,43.7,42.9,41.4,41.5,42.9,43.9,43.9
91,Southern Asia,,5501,,46.9,47.3,47.0,47.9,47.6,48.8,48.7
92,Afghanistan,,4,B,43.6,45.3,43.6,43.6,43.6,49.3,50.1
93,Bangladesh,,50,B R,46.0,46.1,46.2,46.8,47.2,47.1,47.3
94,Bhutan,,64,B,18.5,18.5,18.5,18.7,18.9,18.9,18.9
95,India,,356,B R,47.8,48.1,48.5,48.6,48.7,48.8,48.8
96,Iran (Islamic Republic of),,364,B R,42.8,41.9,40.7,45.1,43.1,47.0,47.0
97,Maldives,,462,C,45.0,50.1,45.0,39.9,23.7,12.3,12.3
98,Nepal,,524,B R,70.7,68.5,66.3,65.4,67.2,69.3,69.4
99,Pakistan,,586,B R,47.4,46.8,46.2,46.1,47.4,48.9,48.7
100,Sri Lanka,,144,B R,43.6,44.4,45.3,46.1,46.9,47.8,47.8
101,South-Eastern Asia,,920,,47.5,48.2,49.2,48.7,48.1,48.1,48.1
102,Brunei Darussalam,,96,B,42.8,43.6,44.1,43.9,43.6,43.4,43.4
103,Cambodia,,116,B,50.3,50.8,51.0,49.6,47.1,46.1,46.1
104,Indonesia,,360,B R,50.6,49.4,47.6,42.8,42.7,41.8,41.8
105,Lao People's Democratic Republic,,418,C R,48.4,48.1,47.3,46.3,46.3,46.3,46.3
106,Malaysia,8,458,C R,41.7,42.9,44.2,42.2,40.3,39.6,39.6
107,Myanmar,,104,C,45.9,45.9,46.8,46.4,45.6,45.2,45.2
108,Philippines,,608,C R,47.2,48.1,49.1,48.3,48.3,48.2,48.2
109,Singapore,,702,B,52.4,54.0,55.5,55.6,55.8,55.9,55.9
110,Thailand,,764,B R,46.4,47.4,48.5,49.8,49.6,49.8,49.8
111,Timor-Leste,,626,B,50.3,51.1,51.9,50.5,49.4,49.4,49.4
112,Viet Nam,,704,C R,45.8,45.0,42.2,39.9,41.8,42.1,42.1
113,Western Asia,,922,,41.4,40.9,40.3,38.2,34.8,36.0,35.9
114,Armenia,,51,B R,58.9,58.9,58.9,59.2,59.2,59.5,59.5
